Title,Release Year,Length in Min,IMDB Rating,Rating Count,Directors,Writers,Stars,Genres,Budget,Gross
Saw VI,2009,90,6.0,125000,Kevin Greutert,"Patrick Melton, Marcus Dunstan",Tobin Bell|Costas Mandylor|Mark Rolston,Horror|Mystery|Thriller,11000000.0,68234154.0
Climax,2020,52,2.1,373,Ram Gopal Varma,,Mia Malkova|Renan Severo,Action|Horror|Thriller,2900000.0,1700000.0
The Twin,2022,109,5.1,4200,Taneli Mustonen,"Aleksi Hyvärinen, Taneli Mustonen",Teresa Palmer|Steven Cree|Barbara Marten,Drama|Horror|Mystery,2620000.0,492000.0
I Spit on Your Grave,2010,108,6.2,93000,Steven R. Monroe,"Adam Rockoff, Meir Zarchi",Sarah Butler|Jeff Branson|Andrew Howard,Horror|Thriller,2000000.0,572809.0
[Rec]²,2009,85,6.5,79000,"Jaume Balagueró, Paco Plaza","Jaume Balagueró, Manu Díaz, Paco Plaza",Jonathan D. Mellor|Manuela Velasco|Óscar Zafra,Horror|Thriller,5600000.0,18469680.0
Open Your Eyes,2021,99,4.2,186,Greg A. Sager,Greg A. Sager,Ry Barrett|Joanna Saul|Julianna Suzanne Bailey,Drama|Horror|Mystery,2900000.0,370720.0
Pahanhautoja,2022,91,6.2,15000,Hanna Bergholm,"Hanna Bergholm, Ilja Rautsi",Siiri Solalinna|Sophia Heikkilä|Jani Volanen,Drama|Fantasy|Horror,3896000.0,508000.0
The Cabin in the Woods,2011,95,7.0,451000,Drew Goddard,"Joss Whedon, Drew Goddard",Kristen Connolly|Chris Hemsworth|Anna Hutchison,Horror|Mystery|Thriller,30000000.0,71038838.0
Time's Up,2022,82,4.6,120,L.C. Holt,L.C. Holt,Damian Maffei|Hannah Fierman|L.C. Holt,Horror,5000000.0,5380118.0
Doctor Jekyll,2023,90,5.0,220,Joe Stephenson,"Dan Kelly-Mulhern, Robert Louis Stevenson",Eddie Izzard|Scott Chambers|Lindsay Duncan,Drama|Horror|Mystery,625000.0,21524.0
The Roommate,2011,94,4.8,41000,Christian E. Christiansen,Sonny Mallhi,Minka Kelly|Leighton Meester|Cam Gigandet,Drama|Horror|Thriller,16000000.0,52545707.0
Phoonk,2008,110,4.0,1400,Ram Gopal Varma,"Milind Gadagkar, Sandeep Nath, Prashant Pandey",Sudeep|Amruta Khanvilkar|Ahsaas Channa,Drama|Horror|Mystery,750000.0,2760000.0
Don't Be Afraid of the Dark,2010,99,5.5,51000,Troy Nixey,"Guillermo del Toro, Matthew Robbins, Nigel McKeand",Katie Holmes|Guy Pearce|Bailee Madison,Fantasy|Horror|Thriller,25000000.0,36993168.0
Hatchet II,2010,85,5.5,15000,Adam Green,Adam Green,Danielle Harris|Kane Hodder|Tony Todd,Action|Comedy|Horror,2500000.0,156190.0
Host,2020,57,6.5,40000,Rob Savage,"Gemma Hurley, Rob Savage, Jed Shepherd",Haley Bishop|Jemma Moore|Emma Louise Webb,Horror|Mystery,100000.0,443807.0
Død snø,2009,92,6.3,70000,Tommy Wirkola,"Tommy Wirkola, Stig Frode Henriksen",Jeppe Beck Laursen|Charlotte Frogner|Jenny Skavlan,Comedy|Fantasy|Horror,800000.0,2166797.0
The Strangers: Prey at Night,2018,85,5.2,35000,Johannes Roberts,"Bryan Bertino, Ben Ketai",Christina Hendricks|Martin Henderson|Bailee Madison,Horror,12500000.0,31039126.0
Zombie Reddy,2021,130,6.6,3100,Prasanth Varma,"Tajuddin Syed, Prasanth Varma",Teja Sajja|Anandhi|Daksha Nagarkar,Action|Comedy|Horror,547127.0,1412957.0
The Invitation,2022,105,5.3,32000,Jessica M. Thompson,Blair Butler,Nathalie Emmanuel|Thomas Doherty|Sean Pertwee,Horror|Thriller,10000000.0,33628000.0
Evil Dead,2013,91,6.5,197000,Fede Alvarez,"Fede Alvarez, Rodo Sayagues, Sam Raimi",Jane Levy|Shiloh Fernandez|Jessica Lucas,Horror,17000000.0,97542952.0
The Exorcist: Believer,2023,111,4.8,39000,David Gordon Green,"Peter Sattler, David Gordon Green, Scott Teems",Lafortune Joseph|Leslie Odom Jr.|Gastner Legerme,Horror,30000000.0,136284218.0
Halloween II,2009,105,4.8,60000,Rob Zombie,Rob Zombie,Scout Taylor-Compton|Tyler Mane|Malcolm McDowell,Horror,10000000.0,39421467.0
The Last Exorcism,2010,87,5.7,52000,Daniel Stamm,"Huck Botko, Andrew Gurland",Patrick Fabian|Ashley Bell|Iris Bahr,Horror|Mystery|Thriller,1800000.0,69400000.0
La última muerte,2011,104,5.5,413,David Ruiz,"Alexis Fridman, Gaël Geneau, Fernando Rovzar",Kuno Becker|Álvaro Guerrero|Carlos Bracho,Action|Drama|Horror,11000000.0,39363635.0
Umma,2022,83,4.7,11000,Iris K. Shim,Iris K. Shim,Sandra Oh|Fivel Stewart|Dermot Mulroney,Drama|Horror|Mystery,3000000.0,2100000.0
Cyrus,2010,87,4.6,1100,Mark Vadik,Mark Vadik,Tiffany Shepis|Max Lesser|Brooke Parker,Crime|Horror|Mystery,7000000.0,9900000.0
Evil Dead Rise,2023,96,6.5,137000,Lee Cronin,Lee Cronin,Mirabai Pease|Richard Crouchley|Anna-Maree Thomas,Horror,15000000.0,146700000.0
The Pope's Exorcist,2023,103,6.1,83000,Julius Avery,"Michael Petroni, Evan Spiliotopoulos, R. Dean McCreary",Russell Crowe|Daniel Zovatto|Alexandra Essoe,Horror|Thriller,18000000.0,76987621.0
