original_title,title,original_language,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,genre_names,release_year
Black Swan,Black Swan,en,2010-12-03,31,12624,7,13000000,329398046,108,"Drama, Horror, Thriller",2010
Gothika,Gothika,en,2003-11-21,31,1883,6,40000000,141591324,98,"Horror, Thriller",2003
The Return of the Texas Chainsaw Massacre,The Return of the Texas Chainsaw Massacre,en,1995-03-12,31,470,4,600000,185898,95,Horror,1995
Critters,Critters,en,1986-04-11,31,739,6,2000000,13167232,86,"Comedy, Horror, Science Fiction",1986
Sinister 2,Sinister 2,en,2015-08-19,31,1832,5,10000000,53329150,97,Horror,2015
The Possession of Hannah Grace,The Possession of Hannah Grace,en,2018-11-29,31,1094,5,7700000,41036181,86,"Drama, Horror",2018
Вий,Forbidden Empire,ru,2014-01-30,31,244,5,26000000,34592118,128,"Adventure, Fantasy, Horror, Mystery, Science Fiction, Thriller",2014
Happy Death Day 2U,Happy Death Day 2U,en,2019-02-13,30,2876,6,9000000,25327500,100,"Comedy, Horror, Science Fiction",2019
Killer Klowns from Outer Space,Killer Klowns from Outer Space,en,1988-05-27,30,722,6,2000000,43625095,88,"Comedy, Horror, Science Fiction",1988
House of 1000 Corpses,House of 1000 Corpses,en,2003-04-11,30,1291,6,7000000,17949758,89,"Crime, Horror",2003
Hellraiser III: Hell on Earth,Hellraiser III: Hell on Earth,en,1992-09-11,30,567,5,5000000,12534961,93,Horror,1992
Slender Man,Slender Man,en,2018-08-10,30,1685,4,10000000,11817275,93,"Horror, Mystery, Thriller",2018
Cujo,Cujo,en,1983-08-10,30,782,6,5000000,21200000,93,"Horror, Thriller",1983
New Nightmare,New Nightmare,en,1994-10-13,30,1096,6,8000000,57000000,112,"Fantasy, Horror, Mystery",1994
Friday the 13th Part VII: The New Blood,Friday the 13th Part VII: The New Blood,en,1988-05-13,30,788,5,2800000,19170001,88,"Horror, Thriller",1988
Creepshow,Creepshow,en,1982-11-12,30,782,6,8000000,21028755,120,"Comedy, Horror",1982
Friday the 13th: A New Beginning,Friday the 13th: A New Beginning,en,1985-03-22,30,876,5,2200000,21930418,92,"Horror, Mystery",1985
The Birds,The Birds,en,1963-03-28,30,3311,7,2500000,11500000,119,Horror,1963
The Shallows,The Shallows,en,2016-06-24,30,4524,6,17000000,119100758,86,"Drama, Horror, Thriller",2016
Gremlins,Gremlins,en,1984-06-07,30,5392,7,11000000,153083102,106,"Comedy, Fantasy, Horror",1984
La piel que habito,The Skin I Live In,es,2011-08-17,29,3601,7,13000000,33750478,120,"Drama, Horror, Thriller",2011
Chernobyl Diaries,Chernobyl Diaries,en,2012-05-24,29,1374,5,1000000,38390020,88,"Horror, Thriller",2012
Doctor Sleep,Doctor Sleep,en,2019-10-30,29,3486,7,45000000,72281712,152,"Fantasy, Horror, Thriller",2019
The Howling,The Howling,en,1981-01-21,29,588,6,1000000,17985893,91,Horror,1981
The Turning,The Turning,en,2020-01-23,29,842,5,14000000,18472775,94,"Horror, Thriller",2020
Gremlins 2: The New Batch,Gremlins 2: The New Batch,en,1990-06-15,29,2089,6,50000000,41482207,106,"Comedy, Fantasy, Horror",1990
Crimson Peak,Crimson Peak,en,2015-10-13,29,4396,6,55000000,74679822,119,"Fantasy, Horror, Mystery, Romance, Thriller",2015
Paranormal Activity 2,Paranormal Activity 2,en,2010-10-20,29,2086,5,3000000,177512032,91,"Fantasy, Horror, Mystery",2010
괴물,The Host,ko,2006-07-27,28,2227,7,11000000,88489643,120,"Drama, Horror, Science Fiction",2006
Brahms: The Boy II,Brahms: The Boy II,en,2020-02-20,28,1045,6,10000000,20311536,86,"Horror, Mystery, Thriller",2020
30 Days of Night,30 Days of Night,en,2007-10-17,27,2267,6,30000000,75505973,113,"Horror, Thriller",2007
The Vatican Tapes,The Vatican Tapes,en,2015-07-24,27,648,5,13000000,1784763,91,"Horror, Thriller",2015
Return of the Living Dead III,Return of the Living Dead III,en,1993-10-01,27,683,6,2000000,54207,97,"Horror, Science Fiction",1993
The Thing,The Thing,en,2011-10-12,27,2390,6,35000000,31505287,103,"Horror, Mystery, Science Fiction, Thriller",2011
47 Meters Down,47 Meters Down,en,2017-05-25,27,2406,5,5500000,44235023,89,"Adventure, Drama, Horror, Thriller",2017
The Visit,The Visit,en,2015-09-10,27,4012,6,5000000,98450062,94,"Horror, Mystery, Thriller",2015
リング,Ringu,ja,1998-01-30,27,1072,7,1200000,19400000,96,"Horror, Thriller",1998
