original_title,title,original_language,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,genre_names,release_year
Critters 2,Critters 2,en,1988-04-29,20.123,316.0,6.0,4500000.0,3813293.0,86.0,"Comedy, Horror, Science Fiction",1988
Trolljegeren,Troll Hunter,nb,2010-10-29,20.083,1312.0,6.7,3500000.0,4159678.0,103.0,"Fantasy, Horror",2010
Psycho,Psycho,en,1998-12-04,20.045,828.0,5.1,60000000.0,37141130.0,105.0,"Horror, Mystery, Thriller",1998
Stitches,Stitches,en,2012-05-19,19.926,346.0,6.4,100000.0,95000.0,86.0,Horror,2012
Alien³,Alien³,en,1992-05-22,19.883,4615.0,6.3,50000000.0,159773545.0,114.0,"Action, Horror, Science Fiction",1992
Boo 2! A Madea Halloween,Boo 2! A Madea Halloween,en,2017-10-20,19.835,445.0,5.7,25000000.0,48333932.0,103.0,"Comedy, Horror",2017
My Bloody Valentine,My Bloody Valentine,en,2009-01-16,19.81,940.0,5.5,15000000.0,102836002.0,101.0,"Horror, Mystery",2009
End of Days,End of Days,en,1999-11-24,19.738,1496.0,6.0,100000000.0,211989043.0,121.0,"Action, Fantasy, Horror, Mystery",1999
Dead Calm,Dead Calm,en,1989-04-07,19.681,583.0,6.6,10400000.0,7825000.0,96.0,"Horror, Thriller",1989
13 Sins,13 Sins,en,2014-04-18,19.675,917.0,6.3,5000000.0,13809.0,93.0,"Horror, Thriller",2014
