registration_number,postal_code,transaction_value,transaction_date,built_area,latitude,longitude,neighborhood
16011401685.0,05397-000,325000,2022-01-25,128,-23.5792547,-46.7758148,Jardim do Lago
11426800761.0,08230-011,390000,2022-01-25,125,-23.526559,-46.4541763,São Miguel Paulista
13013400403.0,03728-010,250000,2022-01-24,73,-23.5000753,-46.5088918,Jardim Danfer
19402900623.0,08370-030,180000,2022-01-28,36,-23.5982642,-46.45267399999999,Parque Boa Esperança
16032900011.0,05396-050,1700000,2022-01-26,300,-23.5733935,-46.7698267,Parque dos Principes
13238100083.0,08180-080,320000,2022-01-18,72,-23.4889082,-46.4115566,Jardim São Martinho
14405000696.0,08290-310,335000,2022-01-24,106,-23.5517811,-46.4491437,Vila Carmosina
18601300617.0,05550-030,390000,2022-01-21,83,-23.5802776,-46.778789,Jardim Gilda Maria
14911000502.0,03936-010,200000,2022-01-31,147,-23.5844543,-46.4932526,Jardim Egle
12005100586.0,04652-218,730000,2022-01-26,150,-23.6650286,-46.6694778,Cupecê
15221101318.0,08320-452,352000,2022-01-28,122,-23.6201642,-46.4745291,Parque Sao Rafael
8558800596.0,04704-030,961000,2022-01-28,343,-23.6253064,-46.68943489999999,Jardim das Acacias
4529800751.0,04052-110,3304000,2022-01-31,181,-23.6104381,-46.6419974,Mirandópolis
8260600201.0,05540-080,900000,2022-01-31,158,-23.574106,-46.7211076,Conjunto Residencial Butanta
22708300243.0,02367-075,90000,2022-01-26,94,-23.4355421,-46.5949955,Sítio Barrocada
27401100353.0,04882-080,510000,2021-12-21,145,-23.8077334,-46.7634929,Parque Florestal
11053000757.0,03737-150,260000,2022-01-18,53,-23.5116647,-46.5140057,Vila Buenos Aires
11439400856.0,08295-440,252000,2022-01-21,54,-23.5437932,-46.4592845,Itaquera
15226100662.0,08330-260,260000,2022-01-24,67,-23.6213617,-46.4646464,Vila Ester
14706700761.0,03578-110,200000,2022-01-31,75,-23.5579191,-46.5058839,Jardim Itapema
6002700511.0,03713-080,273000,2022-01-20,77,-23.5094666,-46.5450492,Jardim Jaú (Zona Leste)
5823500661.0,03548-010,201200,2022-01-28,217,-23.5401546,-46.5103958,Cidade Patriarca
3902500395.0,01545-070,560000,2022-01-20,89,-23.5803216,-46.6175998,Jardim da Gloria
6608401401.0,02278-020,370000,2022-01-24,91,-23.4600634,-46.5772206,Vila Nilo
7006703506.0,02311-010,440000,2022-01-24,77,-23.4704904,-46.6022277,Vila Mazzei
17410900112.0,04840-570,295000,2022-01-24,53,-23.7565343,-46.6792109,Conjunto Habitacional Brigadeiro Faria Lima
18312001671.0,05782-470,405000,2022-01-26,81,-23.6503856,-46.7658361,Parque Munhoz
17414200042.0,04840-490,225000,2022-01-27,93,-23.7569886,-46.681527,Conjunto Habitacional Brigadeiro Faria Lima
10132402271.0,05632-091,380000,2022-02-02,105,-23.5974935,-46.7353076,Vila Sonia
12707400105.0,02874-150,125000,2022-01-28,100,-23.4572836,-46.6779282,Jardim dos Francos
8218100581.0,05330-050,390000,2022-01-21,82,-23.5423597,-46.7504431,Jaguaré
9510700177.0,04788-230,1600000,2022-01-28,290,-23.7066857,-46.7105358,Interlagos
26601700108.0,04865-160,100000,2022-02-01,56,-23.7862149,-46.71160570000001,Jardim Ipora
13224000499.0,08081-220,30000,2022-01-27,126,-23.4880781,-46.4187338,Vila Helena
19901200627.0,05108-050,450000,2022-01-31,120,-23.5102025,-46.75707360000001,Jardim Marisa
10818200765.0,02631-000,250000,2022-01-31,223,-23.4581183,-46.6483582,Jardim Peri
6652502259.0,02218-010,400000,2022-01-25,99,-23.4844175,-46.581536,Vila Medeiros
11410800163.0,08295-320,196000,2022-01-31,54,-23.5454405,-46.45184769999999,Itaquera
11649000129.0,03477-010,1000000,2022-01-24,130,-23.5700345,-46.5125015,Vila Antonieta
11636800555.0,03475-070,400000,2022-01-28,113,-23.5754864,-46.5179167,Vila Antonieta
14208200668.0,08220-050,400000,2022-01-27,100,-23.5403677,-46.48003869999999,Cidade Antônio Estêvão de Carvalho
15221200588.0,08320-430,250000,2022-01-27,58,-23.62115,-46.4737671,Parque Sao Rafael
11136100473.0,03805-010,350000,2022-01-27,94,-23.5045216,-46.4797227,Parque Boturussu
15300900574.0,03977-020,300000,2022-01-26,91,-23.6152559,-46.497162,Conjunto Habitacional Marechal Mascarenhas de Morais
